,ID_ENTIDAD,ENTIDAD,PUNTAJE_PROMEDIO,ERRORESTANDARPROMEDIO,DESVIACION,PORCENTAJE_INSUFICIENTE,PORCENTAJE_MINIMO,PORCENTAJE_SATISFACTORIO,PORCENTAJE_AVANZADO,N,ano,grado,area
60,12,"Bogotá, D.C.",331,"0,204",69,9,45,30,17,75659,2009,Grado5,Ciencias
61,80,Uribia,239,"2,194",60,47,45,7,1,532,2009,Grado5,Ciencias
62,74,Cartago,284,"0,561",66,22,55,18,5,1931,2009,Grado5,Ciencias
63,43,Maicao,274,"1,173",64,29,52,14,6,1391,2009,Grado5,Ciencias
64,123,Córdoba,276,"0,357",65,27,54,15,5,21127,2009,Grado5,Ciencias
65,125,Cundinamarca,316,"0,255",69,12,50,26,12,31221,2009,Grado5,Ciencias
66,173,Tolima,306,"0,408",69,15,51,24,11,16090,2009,Grado5,Ciencias
67,144,La Guajira,270,"0,612",64,31,51,14,5,6816,2009,Grado5,Ciencias
68,185,Casanare,293,"0,816",68,19,54,21,6,3812,2009,Grado5,Ciencias
69,18,Sogamoso,334,"1,173",70,8,44,32,17,1413,2009,Grado5,Ciencias
70,33,Sahagún,288,"1,735",72,24,51,15,10,1281,2009,Grado5,Ciencias
71,93,Riohacha,274,"1,276",67,28,51,15,6,1909,2009,Grado5,Ciencias
72,55,Armenia,297,"1,071",69,18,52,21,9,2741,2009,Grado5,Ciencias
73,86,Zipaquirá,326,"1,786",66,9,47,29,15,1366,2009,Grado5,Ciencias
74,57,Pereira,315,"0,765",66,12,51,27,11,4950,2009,Grado5,Ciencias
75,72,Buenaventura,256,"0,51",61,38,49,11,3,4436,2009,Grado5,Ciencias
76,73,Buga,287,"0,867",64,21,56,18,5,1714,2009,Grado5,Ciencias
77,11,Barranquilla,310,"0,459",67,15,49,24,12,12529,2009,Grado5,Ciencias
78,77,Vaupés,267,"2,653",62,35,48,13,3,303,2009,Grado5,Ciencias
79,53,Putumayo,305,"0,816",65,14,55,23,9,3671,2009,Grado5,Ciencias
80,88,Ipiales,329,"0,765",65,10,45,28,17,2102,2009,Grado5,Ciencias
81,91,Chía,346,"1,531",69,7,39,32,23,1530,2009,Grado5,Ciencias
82,83,Rionegro,318,"1,429",70,12,50,27,12,1279,2009,Grado5,Ciencias
83,78,Vichada,285,"2,245",65,24,54,16,7,667,2009,Grado5,Ciencias
84,41,Neiva,295,"0,867",66,18,54,20,7,4102,2009,Grado5,Ciencias
85,26,Popayán,323,"1,122",71,11,46,29,14,2702,2009,Grado5,Ciencias
86,6,Itagüí,309,"1,071",70,14,51,24,11,2428,2009,Grado5,Ciencias
87,84,Pitalito,292,"1,173",64,17,58,20,5,1727,2009,Grado5,Ciencias
88,8,Arauca,299,"0,918",66,16,55,22,7,2898,2009,Grado5,Ciencias
89,22,Florencia,297,"1,173",65,17,56,21,7,1963,2009,Grado5,Ciencias
90,152,Nariño,302,"0,408",63,17,50,22,11,23416,2009,Grado5,Ciencias
91,147,Magdalena,267,"0,459",64,32,50,13,5,14606,2009,Grado5,Ciencias
92,115,Boyacá,311,"0,408",69,14,50,25,12,15215,2009,Grado5,Ciencias
93,120,Cesar,300,"0,561",69,19,50,20,11,12568,2009,Grado5,Ciencias
94,118,Caquetá,284,"1,02",69,24,52,17,7,3681,2012,Grado5,Ciencias
95,105,Antioquia,297,"0,357",70,21,48,20,10,45967,2012,Grado5,Ciencias
96,117,Caldas,313,"0,765",73,14,49,25,13,6847,2012,Grado5,Ciencias
97,81,Jamundí,300,"2,194",73,18,51,23,8,810,2012,Grado5,Ciencias
98,49,Pasto,332,"1,173",73,9,44,30,17,3105,2012,Grado5,Ciencias
99,52,Cúcuta,310,"0,867",71,16,48,23,13,5616,2012,Grado5,Ciencias
100,17,Duitama,363,"1,99",76,6,32,32,30,1067,2012,Grado5,Ciencias
101,58,Dosquebradas,324,"1,531",72,10,47,29,14,1535,2012,Grado5,Ciencias
102,67,Sincelejo,295,"1,173",71,22,48,20,11,2590,2012,Grado5,Ciencias
103,57,Pereira,322,"0,918",71,12,46,27,16,3591,2012,Grado5,Ciencias
104,94,Yopal,317,"1,429",70,11,50,27,12,1408,2012,Grado5,Ciencias
105,82,Piedecuesta,321,"1,99",75,13,45,28,15,1160,2012,Grado5,Ciencias
106,63,Barrancabermeja,297,"1,378",71,21,49,20,10,1869,2012,Grado5,Ciencias
107,39,Guaviare,280,"2,5",68,23,54,18,4,635,2012,Grado5,Ciencias
108,79,Quibdó,248,"1,888",68,43,44,11,2,1164,2012,Grado5,Ciencias
109,89,Facatativá,333,"1,633",69,9,44,30,17,1136,2012,Grado5,Ciencias
110,4,Bello,317,"1,224",70,12,48,27,13,2886,2012,Grado5,Ciencias
111,75,Palmira,326,"1,327",76,11,45,28,16,1975,2012,Grado5,Ciencias
112,35,Fusagasugá,324,"2,143",70,10,47,29,15,1053,2012,Grado5,Ciencias
113,90,Apartadó,274,"1,837",67,29,51,15,5,1259,2012,Grado5,Ciencias
114,73,Buga,303,"2,398",74,17,48,24,11,771,2012,Grado5,Ciencias
115,37,Soacha,319,"0,918",71,12,48,27,13,3981,2012,Grado5,Ciencias
116,65,Girón,309,"1,786",70,14,51,25,10,1112,2012,Grado5,Ciencias
117,14,Magangué,259,"1,582",66,35,51,11,3,1219,2012,Grado5,Ciencias
118,31,Montería,283,"0,867",69,26,50,17,8,3976,2012,Grado5,Ciencias
119,36,Girardot,291,"2,296",72,22,50,19,9,766,2012,Grado5,Ciencias
120,23,Cartagena,282,"0,612",67,29,45,17,9,8213,2012,Grado5,Ciencias
121,163,Quindio,307,"1,173",71,16,49,23,12,3957,2012,Grado5,Ciencias
122,3,Medellín,301,"0,561",71,20,48,21,11,15585,2012,Grado5,Ciencias
123,86,Zipaquirá,332,"1,786",71,10,43,29,19,971,2012,Grado5,Ciencias
124,12,"Bogotá, D.C.",337,"0,357",72,9,42,29,20,53556,2012,Grado5,Ciencias
125,80,Uribia,231,"2,704",58,48,47,5,0,325,2012,Grado5,Ciencias
126,74,Cartago,307,"1,837",73,17,48,25,10,902,2012,Grado5,Ciencias
127,62,Bucaramanga,338,"1,071",72,9,42,28,21,4026,2012,Grado5,Ciencias
128,26,Popayán,331,"1,378",71,10,44,30,17,1913,2012,Grado5,Ciencias
129,43,Maicao,248,"1,939",69,41,45,11,3,1384,2012,Grado5,Ciencias
130,33,Sahagún,282,"1,888",69,26,51,17,7,946,2012,Grado5,Ciencias
131,93,Riohacha,265,"1,48",67,34,48,12,5,1691,2012,Grado5,Ciencias
132,18,Sogamoso,346,"1,786",73,6,39,34,21,1084,2012,Grado5,Ciencias
133,50,Tumaco,238,"1,531",65,48,43,7,3,1690,2012,Grado5,Ciencias
134,55,Armenia,312,"1,531",72,15,48,23,14,2061,2012,Grado5,Ciencias
135,53,Putumayo,293,"0,918",69,20,53,20,7,3238,2012,Grado5,Ciencias
136,72,Buenaventura,264,"1,429",68,33,49,14,4,2055,2012,Grado5,Ciencias
137,88,Ipiales,325,"2,092",71,10,47,27,16,1042,2012,Grado5,Ciencias
138,91,Chía,352,"2,194",72,5,39,32,24,823,2012,Grado5,Ciencias
139,83,Rionegro,335,"2,296",76,9,43,30,18,828,2012,Grado5,Ciencias
140,77,Vaupés,240,"12,857",62,49,42,9,0,13,2012,Grado5,Ciencias
141,78,Vichada,271,"3,01",64,30,50,15,5,486,2012,Grado5,Ciencias
142,45,Ciénaga,273,"2,143",68,29,50,15,6,1048,2012,Grado5,Ciencias
143,141,Huila,301,"0,51",71,17,52,22,9,10679,2012,Grado5,Ciencias
144,150,Meta,306,"0,663",71,16,50,24,11,8411,2012,Grado5,Ciencias
145,119,Cauca,293,"0,612",70,22,49,20,10,10603,2012,Grado5,Ciencias
146,108,Atlántico,285,"0,612",67,25,49,18,8,16917,2012,Grado5,Ciencias
147,5,Envigado,363,"2,194",75,6,34,30,30,1142,2012,Grado5,Ciencias
148,41,Neiva,303,"1,224",70,16,51,22,11,2865,2012,Grado5,Ciencias
149,6,Itagüí,309,"1,48",70,16,49,21,13,1407,2012,Grado5,Ciencias
150,84,Pitalito,302,"2,041",72,17,51,23,9,1342,2012,Grado5,Ciencias
151,8,Arauca,300,"1,173",70,17,53,22,9,2272,2012,Grado5,Ciencias
152,60,Santa Marta,287,"0,918",71,25,48,18,9,4334,2012,Grado5,Ciencias
153,32,Lorica,253,"1,531",67,39,47,11,3,1140,2012,Grado5,Ciencias
154,16,Tunja,336,"1,786",72,8,44,26,21,1439,2012,Grado5,Ciencias
155,69,Ibagué,321,"1,02",73,13,46,26,16,4314,2012,Grado5,Ciencias
156,11,Barranquilla,292,"0,714",67,22,50,19,9,7801,2012,Grado5,Ciencias
157,22,Florencia,290,"1,48",70,21,51,20,8,1488,2012,Grado5,Ciencias
158,152,Nariño,302,"0,612",69,19,45,23,13,12565,2012,Grado5,Ciencias
